Course,Prerequisite
eesd19h3,Students must be in good standing and have successfully completed groups 1 2 and be completing group 3 of the Centennial College phase of the Specialist (Joint) program in Journalism.
eesd20h3, FREA01H3
eesd33h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [ SOCB60H3 and an additional 8.0 credits and enrolment in the Minor in Critical Migration Studies]
enga01h3,4.0 credits in HIS WST or FST courses
enga02h3, IMCB06H3
enga10h3, FREA90Y3 or  FREA97H3
enga11h3, BIOB12H3 and  BIOC12H3
engb02h3,Any 6.0 credits 
engb04h3, CSCB63H3 and  CSCC69H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
engb06h3, SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
engb07h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
engb08h3,Any one of [ GASB20H3 or  GASB58H3/ HISB58H3 or  GASC20H3]
engb09h3, LGGB63H3
engb12h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses]]
engb14h3, MATB24H3 and  MATB43H3
engb17h3,1.0 credit at the C-level in FRE courses
engb19h3, LGGA60H3 or ( LGGA01H3)
engb22h3,[( POLB70H3) and ( POLB71H3) or  POLB72H3] or [ POLB90H3 and  POLB91H3] or  PPGC66H3 and [1.0 additional credit at the C-level in POL or PPG courses]
engb25h3,Completion of at least 4.0 credits including  CHMA10H3 and  CHMA11H3. Minimum cumulative GPA of 2.7. Permission of instructor.
engb27h3,[ POLB80H3 and  POLB81H3] and [1.5 credits at the C-level in POL or IDS courses]
engb28h3, PMDB30H3 and  PMDB32Y3 and  PMDB36H3 and  BIOB11H3
engb30h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and [ PSYB51H3 or  PSYB57H3] and [[0.5 credit from the PSYC50-series of courses] or  NROC64H3] 
engb31h3,Completion of at least 2.0 credits at the C-level in HLT courses taken from the requirements of the Major/Major Co-op programs in Health Studies; and a minimum CGPA of 2.5.
engb32h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in JOU courses] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses]]
engb33h3,8.0 credits including  EESA01H3
engb34h3, MDSA01H3 and  MDSA02H3
engb35h3,Any 2.0 credits
engb37h3,[[ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] or [ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)]] and  MGAB01H3/( MGTB05H3)
engb38h3, BIOC32H3 or  NROC34H3 or  NROC64H3 or  NROC69H3
engb39h3, PHYA10H3 or  PHYA11H3
engb50h3,None
engb52h3,Any 8.0 credits including:  AFSB50H3/ HISB50H3 or  AFSB51H3/ HISB51H3 or  AFSC55H3/ HISC55H3
engb60h3,Any 6.0 credits
engb61h3, STAC32H3
engb63h3,2 C-level courses in English
engb70h3, HLTA02H3 and  HLTA03H3
engb74h3,10.0 credits including:  JOUB01H3 and  JOUB02H3 and  ACMB02H3; students must have a minimum CGPA of 2.0
engb75h3, FREB50H3 or equivalent
engb76h3, VPAA12H3 and  VPAB16H3
engc01h3,None
engc02h3, MATA30H3 or  MATA31H3 or  MATA32H3
engc03h3,[1.0 credit in History] or [ VPHA46H3 and  ACMB01H3 and an additional 1.0 credit in VPH courses]
engc04h3, VPMC68H3
engc05h3,Any 6.0 credits
engc06h3,[ MATA67H3 or  CSCA67H3 or ( CSCA65H3)] and [ MATA22H3 or  MATA23H3] and [ MATA37H3 or  MATA36H3]
engc07h3,3.5 credits in PHL courses including [ PHLC36H3 and an additional 0.5 credit at the C-level]
engc08h3,Any 6.0 credits or [ VPDB10H3 and  VPDB11H3]
engc09h3,8.0 credits including 0.5 credit at the A-level and 1.0 credit at the B-level in AFS CLA FST GAS HIS or WST courses
engc10h3, LGGB63H3
engc11h3, ANTC62H3 and one additional C-level full credit in Biological Anthropology
engc12h3,None
engc13h3, ENGB63H3
engc15h3,10.0 credits completed and enrolment in the Combined BSc in Mental Health Studies/Masters of Social Work or Specialist/Specialist-Co-op programs in Mental Health Studies
engc16h3, CHMA11H3 and  CHMB41H3
engc17h3, ANTC47H3
engc18h3,None
engc19h3, MATA32H3
engc21h3,[ FREA01H3 and  FREA02H3] or equivalent.
engc22h3,4.0 credits including  ACMB01H3
engc23h3, VPDB01H3 and  VPDB02H3 and  ACMB01H3 and an additional 1.0 credit in Theatre and Performance Studies and permission of the instructor
engc24h3,1.0 credit in modern art history at the B-level.
engc25h3,[ PSYB55H3 or  PSYB57H3 or [(PSYB65) if taken in Fall 2017 or Summer 2018]] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
engc26h3,Grade 12 Calculus and Vectors or [Grade 12 Advanced Functions and Introductory Calculus and Geometry and Discrete Mathematics]
engc27h3, SOCA03Y3 or [( SOCA01H3) and ( SOCA02H3)]
engc29h3,[ CHMC41H3 or  CHMC42H3] and  CHMC47H3
engc30h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
engc33h3, ANTA02H3 or [any 4.0 credits in ANT HLT IDS CIT GGR POL SOC or HCS courses]
engc34h3,Any 8.0 credits including [0.5 at the A- or B-level in AFS CLA FST GAS HIS or WST courses] and [0.5 credit at the C-level in AFS CLA FST GAS HIS or WST courses]
engc35h3, HISB41H3 and at least one other B- or C-level credit in History
engc36h3,None
engc37h3, VPHB39H3 and  ACMB01H3 and [an additional 1.0 credit at the B-level in Art History Studio or Arts Management courses]
engc38h3, FREC02H3 or equivalent.
engc39h3,[ POLB50Y3 or equivalent] or [1.5 credits at the B-level in CIT courses]
engc40h3,[ ACMB01H3 and  VPMB82H3 and  VPMB84H3] and [an additional 0.5 credit at the B-level in VPM courses]
engc42h3, POLB30H3 and  POLC68H3 and [an additional 1.5 credits at the C-level in POL courses]
engc43h3,None
engc44h3, STAC67H3
engc47h3, PSCB57H3
engc48h3,Any 4.0 credits
engc50h3,2 C-level courses in English
engc51h3, VPHA46H3
engc54h3,None
engc56h3,8.0 credits including  VPAA10H3 and  ACMB01H3
engc59h3,At least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Environmental Studies or Political Science or Sociology
engc69h3,Completion of at least 1.0 credit at the C-level in PHY or AST courses
engc70h3,At least 14.5 credits
engc71h3, MGAB03H3/( MGTB03H3) and [ MGHB02H3 or [( MGTB23H3) and ( MGTB29H3)] or ( MGTB27Y3)]
engc78h3,1.5 credits in WST courses including 0.5 credit at the B- or C-level
engc79h3,None
engc80h3,Completion of 10.0 credits including  MGTA05H3 or [ MGTA01H3 and  MGTA02H3]
engc82h3, AFSA01H3 or  ANTA02H3
engc83h3, CHMB21H3 or  PHYB56H3. Minimum cumulative GPA of 2.7. Permission of instructor.
engc84h3,3.0 credits in Psychology Biology or Neurosciences and permission of instructor.
engc86h3,Completion of 10.0 credits
engc87h3,None
engc88h3,[1.5 credits at the C-level in MAT courses] and [permission of the Supervisor of Studies] and [a CGPA of at least 3.0 or enrolment in a Mathematics Subject POSt]
engc89h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses]
engc90h3, ANTA02H3
engc91h3,[Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]] or [10.0 credits including  SOCB60H3]
engd03h3, CHMB16H3 and [ CHMB20H3 or  CHMB23H3] and  CHMB31H3 and  CHMB42H3
engd07h3,At least 1.0 credit at the C-level in EES courses and 0.5 credit at the C-level in CHM or PHY courses.
engd08h3, ACMB01H3 and [[ MDSA01H3 and  MDSB05H3] or [ JOUA01H3 and  JOUA02H3]] or [4.5 credits from the Major (Joint) program in New Media Studies Group I and Group II courses]]
engd12h3,At least 1.0 credit at the C-level in LIN courses and permission of the supervising instructor
engd13h3,8.0 credits including 2.0 credits in WST courses
engd14h3,Permission of the instructor and  ANTA01H3 and  ANTA02H3 and one B-level full credit in Anthropology in the appropriate sub-field (biological or cultural).
engd18h3, ANTB19H3 and  ANTB20H3
engd19h3,Any 8.0 credits
engd22h3, CHMA10H3 and  CHMA11H3
engd26y3,None
engd27y3,At least 1.5 credits at the B-level in CIT courses
engd28y3,[ POLB80H3 and  POLB81H3] or equivalent
engd29h3,Any 6.0 credits or [ SOCB58H3; and an additional 4.0 credits; and registration in the Minor in Culture Creativity and Cities]
engd30h3,[ MATA37H3 or MAT137Y] and  MATB24H3
engd42h3, EESB19H3 or ( EESC35H3)
engd43h3,[ ANTB19H3 and  ANTB20H3] and at least 2.0 credits at the C-level in Sociocultural Anthropology]
engd48h3,[ FREB44H3 and  FREC46H3] or [ LINC02H3 and  LINC11H3]
engd50h3,Grade 12 Calculus and Vectors
engd52h3, PHYB52H3 and  PSCB57H3 and  MATC46H3
engd53h3, CHMB42H3
engd54h3,[[ POLB50Y3 or equivalent] and [1.5 credits at the C-level in POL or PPG courses]] or [15.0 credits including  SOCB60H3]
engd55h3,8.0 credits including  AFSB51H3/ HISB51H3 or  HISD50H3
engd57h3, VPMA69H3
engd58h3, ANTB14H3 and  ANTB15H3 and ( HLTA01H3) and [ ANTC35H3 or ( SOCB06H3) or  STAB22H3]
engd59h3, VPMA73H3
engd60h3,[At least 1.5 credits at the B-level in ONE of the following: City Studies or Human Geography or Political Science or Sociology]
engd62h3,1.0 credit at the A-level in AFS GAS or HIS courses
engd68h3, MATC63H3
engd71h3,10.0 credits including  SOCB05H3 and 1.0 credit from the following:  [ SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
engd80h3,Any 6.0 credits
engd84h3,Any 4.0 credits
engd89h3,10.0 credits including  JOUB01H3 and  JOUB02H3 and  ACMB02H3
engd91h3,None
engd93h3,Grade 12 Calculus and Vectors or [Grade 12 Advanced Functions and Introductory Calculus and Geometry and Discrete Mathematics]
engd94h3,None
engd95h3,1.5 full credits at the B-level or higher in EES and permission of instructor.
engd96h3,Any 4.0 credits.
engd98y3, ACMB01H3 and [ VPMB82H3 or  VPMB84H3] and [an additional 1.0 credit at the B-level in VPM courses]
estb01h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
estc34h3,4.0 credits including [ LINA01H3 or  LINA02H3] and a CGPA of 3.3 
estc35h3,12.0 credits including  IDSA01H3
estc36h3,12.0 credits including  IDSA01H3
estd16h3, HLTA02H3 and  HLTA03H3
estd17y3,None
estd18h3,5.0 credits including  MDSA01H3 and  MDSA02H3
estd19h3,[[ ENGB60H3 and  ENGC86H3] or [ ENGB61H3 and  ENGC87H3]] and 1 other C-level Creative Writing course and permission of the instructor.
frea01h3, LGGA70H3
frea02h3,Any 8.0 credits including [ STAB23H3 and  GGRB30H3]
frea90y3,None
frea91y3, NROB60H3 and [ NROC61H3 or  NROC64H3]
frea96h3, ANTB22H3
frea97h3, MGSC01H3 or  MGIC01H3
frea98h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
frea99h3, PSYB51H3 and [ PSYB55H3 or ( PSYB65H3)]
freb01h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Value Theory area of focus – see Table 1.0 for reference]
freb02h3,3.5 credits in PHL courses including 1.0 credit at the C-level
freb08h3,1.0 credit at the C-level in FRE courses
freb11h3, STAB27H3 or  STAB57H3 or  MGEB12H3/( ECMB12H3) or  PSYC08H3 or  STA221H1 or  STA248H1 or  STA261H1
freb17h3, MGHB12H3/( MGTC22H3) or  MGIB12H3
freb18h3, STAB23H3 or equivalent
freb20h3,2.0 full credits in RLG and permission of the instructor
freb22h3, ANTA01H3
freb27h3,At least 1.0 credit at the C-level in LIN  courses and permission of the supervising instructor.
freb28h3,Any 4.0 credits
freb35h3,Any 4.0 credits including:  HISA08H3/ AFSA01H3 or  HISB50H3/ AFSB50H3 or  HISB51H3/ AFSB51H3
freb36h3,[ FREA01H3 and  FREA02H3] or equivalent.
freb37h3,None
freb44h3, LINA02H3
freb45h3,2 C-level courses in English
freb46h3,Students must obtain consent from the Supervisor of Studies before registering for this course.
freb50h3, CHMB41H3 and  CHMB42H3
freb51h3,Any B-level course in Anthropology or Biology and any statistics course.
freb55h3, CHMA10H3 and  CHMA11H3
freb70h3,None
freb84h3, MGEB02H3/( ECMB02H3)
frec01h3,One full credit in Political Science at the B-level
frec02h3,None
frec03h3, VPHA46H3 and [one of  VPHB63H3 or  VPHB64H3 or  VPHB74H3].
frec11h3,1.5 credits including [ WSTA01H3 or  WSTA03H3] and [0.5 credit at the B- or C-level in WST courses]
frec12h3, FREA97H3 or ( LGGA22H3)
frec18h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [8.0 credits including  WSTB05H3 and enrolment in the Major in Women's and Gender Studies]
frec38h3,One full credit in Classics or History
frec46h3,Any 6.0 credits 
frec47h3, HLTC27H3 and 2.0 credits at the C-level in HLT courses from the requirements of the Major/Major Co-op program in Health Studies - Population Health (Science)
frec48h3, AFSA01H3 or  IDSA01H3
frec54h3, VPHA46H3 and [3.0 credits at the B- or C-level in VPS courses]; students enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
frec57h3, ENGB50H3 or [ WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)] and any ENG or FRE literature course]].
frec58h3, IDSA01H3 and [1.0 credit at the B-level in IDS courses]
frec63h3,[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]
frec64h3, LGGA75H3
frec83h3, MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)
fred01h3,8.0 credits including  AFSB50H3/ HISB50H3 or  AFSB51H3/ HISB51H3 or  HISC55H3
fred02h3, CSCB09H3 and  CSCC43H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
fred03h3,Grade 12 Calculus and Vectors
fred04h3,None
fred05h3, VPMA66H3
fred06h3,None
fred07h3, BIOB11H3 or ( BIOB10Y3)
fred13h3,Any 4.0 credits.
fred14h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in GAS or HIS courses] and [0.5 credit at the C-level in GAS or HIS courses]
fred90y3, ACMB01H3 and 2.0 credits at the B-level in MDS courses
fsta01h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the History of Philosophy area of focus see Table 1.0 for reference]
fstb01h3,None
fstc02h3, AFSA01H3 or  AFSB51H3 or 0.5 credit in Modern History
fstd10h3, WSTA01H3 & [ WSTA03H3 or ( WSTA02H3)]
gasa01h3, ANTB14H3
gasa02h3,[ FREA01H3 and  FREA02H3] or equivalent.
gasb05h3,None
gasb15h3,None
gasb20h3, [ PSYB55H3 or ( PSYB65H3)] and [ PSYB51H3 or  PSYB57H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3]
gasb30h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)]
gasb33h3,Students must be enrolled in the 4th year of their Environmental Science Program.
gasb53h3,[ BIOB11H3 or ( BIOB10Y3)] and  CHMB41H3
gasb57h3,Permission of the instructor. Normally recommended for individuals who have completed fifteen full credits including at least two C-level Chemistry courses and who are pursuing one of the Chemistry Programs.
gasb58h3,None
gasb73h3, IDSA01H3 and students must have completed the first four years of the IDS Specialist Co-op Program or its equivalent and have completed their placement. Also permission of the instructor is required.
gasb74h3, PSYC12H3 and [ PSYB64H3 or  PSYB55H3 or ( PSYB65H3)]
gasb77h3,10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3] 
gasc20h3,( BIOB30H3) or  BIOB34H3 or  NROB60H3 or BIO271H
gasc33h3, GGRB02H3 and 1.0 additional credit at the B-level in GGR
gasc40h3, MGFC10H3/( MGTC09H3)
gasc41h3, ENGB61H3
gasc42h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS or WST courses] and [0.5 credit at the C-level in HIS or WST courses]
gasc43h3,At least 4.0 credits including  BIOA01H3 and  BIOA02H3 and enrolment in a Biology program.
gasc45h3,Grade 12 French or  FREA99H3 or equivalent.
gasc50h3,One B-level course in the group  FREB01H3- FREB84H3 except  FREB17H3 and  FREB18H3.
gasc53h3,[ ANTB19H3 and  ANTB20H3] or  HLTB42H3
gasc57h3, MGHB12H3/( MGTC22H3) or  MGIB12H3
gasc59h3, POLB30H3 or  POLB80H3
gasc74h3, BIOB51H3 and [ BIOC59H3 or  BIOC61H3]
gasd01h3,Any 6.0 credits 
gasd02h3,None
gasd03h3,Any 5.0 credits including: [ WSTA01H3 and [ WSTA02H3 or  WSTA03H3]] or [0.5 credit in ENG FRE or GAS cinema/film focused courses]
gasd06h3, LINA01H3
gasd20h3,Any 6.0 credits or [ SOCB58H3; and an additional 4.0 credits; and registration in the Minor in Culture Creativity and Cities]
gasd30h3,At least 14.5 credits
gasd40h3, MATC01H3 and [( MATC35H3) or  MATC37H3] and [ MATC15H3 or  MATD02H3]
gasd56h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
gasd58h3,None
gasd59h3, ACMB01H3 and [[ MDSA01H3 and  MDSA02H3] or [ JOUA01H3 and  JOUA02H3]] 
gasd71h3,[8.0 credits of which at least 2.0 credits should be at the B-or C-level in Modern History] or [15.0 credits including  SOCB60H3]
ggra02h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3 and [an additional 0.5 credit at the B-level in PSY courses]
ggra03h3, ACMB01H3 and [[2.0 credits at the B-level in MDS courses] or [2.0 credits at the B-level in VPM courses]]
ggra30h3,[[ SOCA01H3 and  SOCA02H3] or  SOCA03Y3] or [any 4.0 credits and enrolment in the Minor in Critical Migration Studies]
ggra35h3,Any 11 full credits including 2 full credits in Classical Studies or History
ggrb02h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)] and  WSTB05H3 and  WSTB11H3 and  WSTC02H3
ggrb03h3, VPSA62H3 and  VPSA63H3
ggrb05h3,None
ggrb13h3, CHMA10H3 and  CHMA11H3 and  BIOB50H3 and  BIOB51H3
ggrb21h3, IDSA01H3
ggrb28h3, BIOA01H3 and  BIOA02H3
ggrb30h3, BIOB50H3 and  BIOB51H3
ggrb32h3, VPMB69H3
ggrb55h3, BIOA01H3 and  BIOA02H3
ggrc01h3,2.0 full credits in RLG at the C-level and permission of the instructor
ggrc02h3, ACMB01H3 and  JOUB24H3
ggrc09h3, VPMA67H3
ggrc10h3,None
ggrc11h3,Any 6.0 credits 
ggrc12h3, POLB92H3 and [  POLB90H3 or  POLB91H3] and [an additional 2.0 credits at the C-level in any courses]
ggrc13h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3) or  WSTB05H3 or  WSTB11H3 or one half credit from the list provided in requirement #6 in the Major in Women's and Gender Studies]
ggrc21h3, MGAC01H3 and  MGSC30H3
ggrc24h3,At least 14.5 credits
ggrc25h3,3.5 credits in PHL courses including [ PHLC43H3 and 0.5 credit at the C-level]
ggrc26h3,13.0 credits including  GGRB02H3
ggrc27h3, FREB02H3 and  FREB50H3 
ggrc28h3,Any 11 full credits including 2 full credits in Classical Studies or History.
ggrc30h3,2 C-level courses in English
ggrc31h3, BIOC17H3 or  BIOC39H3
ggrc32h3, CHMB31H3 and [ CHMC41H3 or  CHMC42H3]
ggrc33h3,10.0 credits including  IDSA01H3 
ggrc34h3,1.5 credits from the following [ POLC32H3  POLC36H3  POLC39H3  POLC68H3]
ggrc40h3,1.0 credit at the C-level in ENG courses
ggrc41h3,14.0 credits and enrolment in a Computer Science Subject POSt.
ggrc44h3,Any 4.5 credits and [an additional 1.5 credits in PHL courses of which 0.5 credit must be from the Mind Metaphysics and Epistemology area of focus – see Table 1.0 for reference]
ggrc45h3,[[10.0 credits and  SOCB05H3 and [1.0 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3 ( SOCC39H3)]] or [8.0 credits including  WSTB05H3 and enrolment in the Major in Women's and Gender Studies]
ggrc48h3,One B-level full credit in Political Science
ggrc50h3,13.0 credits including  GGRB02H3
ggrc54h3, STEB40H3
ggrc56h3,[8.0 credits at least 2.0 of which should be at the B- or C-level in Modern History] or [15.0 credits including  SOCB60H3]
ggrd01h3,Completion of at least 10.0 full credits including [[ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)] or [ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)]] and [[ MGTA01H3/( MGTA03H3) and  MGTA02H3/( MGTA04H3)] or  MGTA05H3]]
ggrd08h3, PHYB56H3  PHYB21H3  MATA23H3  MATB42H3  MATB44H3
ggrd09h3, VPHA46H3 and [2.0 credits at the B-level in VPS courses]; student enrolled in the Specialist and Major programs in Studio must also complete  ACMB01H3
ggrd10h3,None
ggrd11h3, ECTB61H3
ggrd12h3,None
ggrd14h3,None
ggrd19h3,None
ggrd25h3,None
ggrd30h3,None
ggrd31h3, CSCB63H3 and  STAB52H3; [CGPA 3.0 or enrolment in a CSC Subject POSt]
ggrd49h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYC02H3
hcsd05h3, LGGA80H3
hisa04h3, PSYA01H3 and  PSYA02H3
hisa05h3, BIOA01H3 and  BIOA02H3
hisa06h3, ACMB01H3 and  VPMB01H3
hisa07h3,12.0 credits including  IDSA01H3 and permission of the instructor
hisa08h3,Any 4.0 credits including 0.5 credit at the A- or B-level in HIS courses
hisb02h3, LGGC64H3 or  LGGC65H3
hisb03h3,14.0 credits including  IDSC04H3
hisb10h3, SOCA03Y3 or [( SOCA01H3 and  SOCA02H3)]
hisb11h3,8.0 credits including [ AFSA01H3 or  IDSA01H3] and [ AFSA03H3/ IDSA02H3] and [1.0 credit at the B-level in AFS or IDS courses]
hisb12h3, ANTA02H3
hisb14h3,None
hisb23h3, BIOB11H3 or ( BIOB10Y3)
hisb30h3,[ MGEA02H3/( ECMA04H3) and  MGEA06H3/( ECMA06H3)] or [ MGEA01H3/( ECMA01H3) and  MGEA05H3/( ECMA05H3)]
hisb31h3, HLTB15H3
hisb37h3,Completion of 8.0 credits including  MGAB03H3/( MGTB03H3) and  MGAB02H3/( MGTB06H3) and [ MGTA35H3 or  MGTA36H3]
hisb40h3, BIOC17H3 or  BIOC39H3
hisb41h3,[ MGTA01H3/( MGTA03H3) and  MGTA02H3/( MGTA04H3)] or  MGTA05H3
hisb50h3,Any 4.5 credits and [an addtional 1.5 credits in PHL courses of which 0.5 credit must be from the Value Theory area of focus see Table 1.0 for reference]
hisb51h3,[ FREA01H3 and  FREA02H3] or equivalent
hisb52h3, BIOC16H3 or  BIOC50H3
hisb53h3, CSCC43H3 and  CSCC69H3 and  CSCC73H3 and [CGPA 3.0 or enrolment in a CSC Subject POSt]
hisb54h3, VPDB01H3 and permission of the Theatre and Performance Studies Teaching Staff
hisb57h3,[ ANTB19H3 and  ANTB20H3] and [at least 1.0 credit at the C-level in socio-cultural anthropology courses]
hisb58h3,Any 8.0 credits including [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
hisb60h3,[ MATB24H3 or  CSCB36H3] and at least one other B-level course in Mathematics or Computer Science
hisb61h3,[ LINA01H3 and  LINA02H3] or [ FREB44H3 and  FREB45H3]
hisb62h3, LINB04H3 and  LINB09H3
hisb74h3,1.0 credit at the C- level in ENG courses
hisb93h3,None
hisb94h3,15.0 credits including completion of the following requirements of the Major/Major Co-op programs in City Studies: (1) Introduction to Social Science Thought (2) Core Courses and (4) Methods
hisc01h3,None
hisc03h3,Any 8.0 credits including: [0.5 credit at the A- or B-level in HIS courses] and [0.5 credit at the C-level in HIS courses]
hisc04h3, VPSB67H3
hisc05h3, ACMB01H3 and 2.0 credits at the B-level in MDS courses
hisc08h3, PMDB30H3 and  PMDB32Y3 and  PMDB36H3 and  BIOB11H3
hisc09h3,None
hisc10h3,[( POLB70H3) and ( POLB71H3)] or  POLB72H3
hisc11h3,None
hisc18h3, CHMA10H3  CHMA11H3  EESA06H3
hisc26h3, VPMC01H3 and 1.0 credit in Music Performance
hisc27h3,[[ SOCB05H3 or  SOCB35H3] and [0.5 credit from the following:  SOCB30H3  SOCB42H3  SOCB43H3  SOCB47H3]] or [any 8.0 credits and enrolment in the Major/Major Co-op in Public Policy]
hisc29h3,[ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB10H3 
hisc30h3, CSCD94H3 Enrolment procedures: Project supervisor's note of agreement must be presented to the Supervisor of Studies who must issue permission for registration.
hisc32h3, CSCA48H3 and [CGPA of at least 3.0 or enrolment in a CSC Subject POSt or enrolment in a non-CSC Subject POSt for which this specific course is a program requirement]
hisc33h3,[ MGEB01H3/( ECMB01H3) or  MGEB02H3/( ECMB02H3)] and [ MGEB05H3/( ECMB05H3) or  MGEB06H3/( ECMB06H3)]
hisc34h3,At least 14.5 credits
hisc36h3, HLTB50H3 and an additional 2.0 credits at the C-level in HLT courses from the requirements of any of the Major/Major Co-op programs in Health Studies; and a minimum CPGA of 2.5.
hisc38h3, ANTB14H3 and at least one C-level course (1.0 credit) in biological anthropology.
hisc39h3,None
hisc45h3, ACMB01H3 and [[ MDSA01H3 and  MDSA02H3] or [ JOUA01H3 and  JOUA02H3]]  
hisc46h3,At least 15.0 credits and completion of the major in studio and written permission of the instructor in the previous session.
hisc52h3, IDSA01H3 and [1.0 credit at the B-level in IDS courses]
hisc55h3, ANTB19H3 and  ANTB20H3
hisc56h3,Any 6.0 credits 
hisc57h3,4.0 credits including 1.0 credit in Humanities or Social Sciences
hisc58h3, WSTA01H3 and [ WSTA03H3 or ( WSTA02H3)] and  WSTB11H3; and two C-level courses from requirement #6 of the Major in Women's and Gender Studies
hisc59h3,None
hisc60h3, MGAC01H3/( MGTC07H3)
hisc65h3, MGEB02H3
hisc68h3, ACMB01H3 and  JOUA01H3 and  JOUA02H3
hisc70h3, POLB80H3  NoteIt is strongly recommended that students take  POLB80H3 and  POLB81H3 in consecutive sessions.
hisc75h3,[ PSYB01H3 or  PSYB04H3] and [ PSYB07H3 or  STAB22H3 or  STAB23H3] and  PSYB20H3
hisc96h3, IMCB04H3
hisc97h3, BIOB50H3
hisd01h3, BIOC62H3 or  BIOC63H3
hisd02h3, LINB04H3 and  LINB06H3
hisd04h3, CSCB63H3 and  STAB52H3 and [ MATA22H3 or  MATA23H3] and [a CGPA of 3.0 or enrolment in a CSC Subject POSt]
hisd05h3, IDSA01H3 and [1.0 credit at the B-level in IDS courses]
hisd06h3, MGMA01H3/( MGTB04H3) and  MGAB01H3/( MGTB05H3) and  MGAB02H3/( MGTB06H3)
hisd07h3,None
hisd08h3,None
hisd10h3,None
hisd12h3,None
hisd14h3,[ ANTB14H3 and  ANTB15H3] or [ BIOA01H3 and  BIOA02H3]
hisd16h3, MATC01H3 and [( MATC35H3) or  MATC37H3] and [ MATC15H3 or  MATD02H3]
hisd18h3,None
hisd25h3,Any 6.0 credits 
hisd30h3, CHMA10H3 and  CHMA11H3
hisd31h3,[ MGMA01H3/( MGTB04H3) or  MGIA01H3/( MGTB07H3)] and  MGEB11H3/( ECMB11H3) and  MGEB12H3/( ECMB12H3)
hisd32h3, VPHA46H3 or  VPHB39H3
hisd34h3, GGRB05H3 or  GGRB30H3
hisd35h3, ESTB01H3
hisd36h3,2 C-level courses in English.
hisd44h3, ANTB19H3 and  ANTB20H3
hisd45h3,4.0 credits and  MDSA01H3
hisd46h3,None
hisd47h3, VPDC01H3 and permission of the Theatre and Performance Studies Teaching Staff
